等级,最大生命,攻击力,防御力,暴击率,暴击效果,行动力,K,EHP,角色职责(注释用，可以不写),这一行是数值的实际内容，下面一行是变量名，无需在意，注释请在第二行以外的地方书写
Level,MaxHP,Attack,Defense,CriticalRate,CriticalEffect,Speed,K,,,
绝剑士,,,,,,,,,,
1,177,185,60,30%,250%,40,100,283,,
2,289,402,89,30%,250%,40,100,546,,
3,355,532,106,30%,250%,40,100,731,,
4,408,635,120,30%,250%,40,100,898,,
5,453,722,132,30%,250%,40,100,1051,,
6,493,800,142,30%,250%,40,100,1193,,
7,529,870,151,30%,250%,40,100,1328,,
8,562,935,160,30%,250%,40,100,1461,,
9,593,995,168,30%,250%,40,100,1589,,
10,623,1052,176,30%,250%,40,100,1720,,
裁罪士,,,,,,,,,,
1,210,137,79,10%,150%,50,100,376,,
2,355,292,114,10%,150%,50,100,760,,
3,442,385,135,10%,150%,50,100,1039,,
4,510,458,151,10%,150%,50,100,1280,,
5,568,520,165,10%,150%,50,100,1505,,
6,620,576,177,10%,150%,50,100,1717,,
7,667,626,189,10%,150%,50,100,1928,,
8,710,672,199,10%,150%,50,100,2123,,
9,750,715,209,10%,150%,50,100,2318,,
10,788,756,218,10%,150%,50,100,2506,,
厄瘟使,,,,,,,,,,
1,240,100,85,20%,125%,45,100,444,,
2,399,216,121,20%,125%,45,100,882,,
3,495,285,143,20%,125%,45,100,1203,,
4,570,340,160,20%,125%,45,100,1482,,
5,634,387,175,20%,125%,45,100,1744,,
6,691,428,187,20%,125%,45,100,1983,,
7,742,465,199,20%,125%,45,100,2219,,
8,790,500,210,20%,125%,45,100,2449,,
9,834,532,220,20%,125%,45,100,2669,,
10,876,563,230,20%,125%,45,100,2891,,
坚壁者,,,,,,,,,,
1,215,55,100,0%,100%,45,100,430,,
2,353,113,143,0%,100%,45,100,858,,
3,435,148,160,0%,100%,45,100,1131,,
4,500,175,190,0%,100%,45,100,1450,,
5,555,198,207,0%,100%,45,100,1704,,
6,604,219,223,0%,100%,45,100,1951,,
7,649,238,237,0%,100%,45,100,2187,,
8,690,255,250,0%,100%,45,100,2415,,
9,728,271,262,0%,100%,45,100,2635,,
10,764,286,273,0%,100%,45,100,2850,,
暴猎客,,,,,,,,,,
1,215,109,77,20%,250%,45,100,381,,
2,360,237,109,20%,250%,45,100,752,,
3,447,315,128,20%,250%,45,100,1019,,
4,515,376,143,20%,250%,45,100,1251,,
5,573,428,156,20%,250%,45,100,1467,,
6,625,474,167,20%,250%,45,100,1669,,
7,672,516,177,20%,250%,45,100,1861,,
8,715,554,187,20%,250%,45,100,2052,,
9,755,590,196,20%,250%,45,100,2235,,
10,793,624,204,20%,250%,45,100,2411,,
愈圣者,,,,,,,,,,
1,275,55,73,0%,100%,50,100,476,,
2,456,113,106,0%,100%,50,100,939,,
3,565,148,127,0%,100%,50,100,1283,,
4,650,175,142,0%,100%,50,100,1573,,
5,723,198,155,0%,100%,50,100,1844,,
6,787,219,167,0%,100%,50,100,2101,,
7,846,238,178,0%,100%,50,100,2352,,
8,900,255,188,0%,100%,50,100,2592,,
9,950,271,197,0%,100%,50,100,2822,,
10,998,286,206,0%,100%,50,100,3054,,
