技能名,变量名(技术人员来填),技能介绍,SkillCoef,SkillBase,是否需要选择敌人(填是或否),选择数量,是否需要选择我方角色(填是或否),选择数量,使用后是否结束回合(填是或否),回合冷却,额外变量1,注释,额外变量2,注释,额外变量3,注释,额外变量4,注释,标签
Name,Type,Description,SkillCoef,SkillBase,IfRequireEnemy,RequireEnemyNum,IfRequireCharacter,RequireCharacterNum,EndTurnAfterUse,CoolDown,Extra_Data_1,,Extra_Data_2,,Extra_Data_3,,Extra_Data_4,,Tags
重裁域场,EnterSkillOne,切入时，角色释放重裁域场，该效果持续100行动值。对敌方全体造成基于单位所受负面状态数的伤害并对其施加一层虚弱，若单位无负面状态，则对其施加额外一层虚弱,0,0,否,0,否,0,否,0,100,持续AV,2,重裁域场DOT倍率,0.4,Debuff层数伤害结算,,,法术;扩散
序焰燎原,AllAttack,对敌方全体造成大量伤害，并施加序焰负面状态，持续两回合。若已有该状态，则立即触发一次该效果原伤害的60%结算，并刷新状态,0.12,15,否,0,否,0,是,0,2,持续回合数,0.6,刷新即刻结算倍率,,,,,法术
元素亡爆,ElementDetonate,指定敌方单体获得元素亡爆，持续二回合，并使其立即触发一次持续伤害结算,0,0,是,1,否,0,是,0,2,持续回合数,,,,,,,减益;法术
无尽煎熬,EnterSkillTwo,敌方全体获得持续煎熬的负面效果，持续300行动值，随机施加一种持续伤害效果并且立即进行一次震慑判定,0,0,否,0,否,0,否,0,300,持续AV,,,,,,,减益;震慑
厄运播撒,DebuffSpreadAttack,对敌方全体造成中等伤害，并从【冰寒，腐蚀，风蚀】施加一种负面效果，持续三回合，优先选择未持有效果,0.2,10,否,0,否,0,是,0,0.1,单DOT系数,3,持续敌方回合数,0.6,刷新即刻结算倍率,0,预留,法术
追惩,PursuitPunish,【不消耗自身回合】角色获得追惩状态，持续两回合。处于非自身回合时，自身造成的伤害提升15%。技能CD为三回合,0,0,否,0,否,0,否,3,2,持续回合数,,,,,,,追击;增伤
追惩追加,PursuitPunishAdditional,追加回合中，检测所有敌人，对全部带有惩戒标记的目标按追惩倍率造成一次伤害，并在结算后移除其惩戒标记,0.2,0,否,0,否,0,否,0,0.2,追惩伤害系数,,,,,,,追击;增伤
蓄势待发,EnterSkillThree,为我方全体施加一层抵御，并使行动提前50%。并获得四层蓄势逆击层数，该效果切出后清零。,0,0,否,0,否,0,否,0,0,获取层数,0.5,行动提前比例,1,抵御层数,,,抵御;拉条
嘲弄挑衅,TauntPull,选定敌方单体，使其获得嘲讽效果，持续两回合。并使其提前行动100%，并使其本次回合造成伤害降低60%,0.4,40,是,1,否,0,是,0,1,敌人拉条数值,0.6,伤害降低,2,嘲讽回合数,,,嘲讽;减益
坚盾护援,ShieldAndAdvance,选定我方单体，使其获得护盾，并使其下次行动伤害提升20%并行动提前50%,0.2,20,否,0,是,1,是,2,0.25,护盾生命系数,0.5,行动提前比例,0.2,下次行动伤害提升比例,40,固定护盾系数x100,护盾;拉条
狂暴盛宴,MainDpsEnter,对生命值百分比最低的敌方单体造成高额真实伤害。若目标生命值低于30%（对首领为12%）则斩杀。首领额外生命伤害系数2%（代码常量）。获得狂暴盛宴与燃血，持续200行动值,0.4,0,否,0,否,0,否,0,200,持续AV,0.2,暴击率提升,0.06,普通目标生命系数,0.3,普通斩杀线,燃血;斩杀
弱点狙击,MainDpsSkillOne,对指定敌方单体造成伤害。若目标持有负面状态，则伤害提升。持有狂暴盛宴时若暴击，则插入1次追加回合，对同一目标再发动一次弱点狙击,0.1,20,是,1,否,0,是,0,0.15,减益目标SkillCoef,,,,,,,物理
弱点追击,MainDpsSkillOneAdditional,追加回合中，对触发暴击时选中的同一敌方目标再发动一次弱点狙击，伤害为原技能的0.5倍，不会再次插入连锁追加回合。,0.1,20,是,1,否,0,否,0,0.15,减益目标SkillCoef,,,,,,,物理
致命穿甲,MainDpsSkillTwo,【不消耗自身回合】获得致命穿甲。伤害提升25%并视为真实伤害。若击杀单位，则使全体我方行动提前50%。技能冷却3回合,0,0,否,0,否,0,否,3,1.4,真伤增伤倍率,0.5,击杀全队行动提前比例,,,,,真伤;拉条
绝境域场,SubDpsEnter,对生命值最低的单位施加裁决印记并造成伤害。同时获得暴击律动，释放绝境域场，持续100行动值,0.25,15,否,0,否,0,否,0,150,绝境域场与印记持续AV,,,,,,,暴击;增伤
刺其骨肉,SubDpsSkillOne,对敌方单体施加1层破甲并造成伤害。破甲最多叠加2层。,0.28,10,是,1,否,0,是,0,1,破甲层数,,,,,,,物理;减益
浴血反哺,SubDpsSkillTwo,【不消耗自身回合】对自身造成50%最大生命值伤害；若当前生命不足则降至1点而不会死亡。之后两次攻击各回复15%最大生命值，若暴击则额外回复15%。,0,0,否,0,否,0,否,2,0.5,自损生命比例,0.15,每次命中回复比例,2,触发次数,0.15,暴击额外回复比例,燃血;增伤
净愈恩典,HealerEnter,切入时，清除另一名我方角色最多3个负面状态。根据我方全体已损生命值，提高其下一次伤害，并为我方全体角色各自回复其已损生命值的40%,0,0,否,0,否,0,否,0,3,清除负面状态数量,0.4,全体已损生命治疗比例,,,,,治疗;增伤
回复之泉,HealerSkillOne,为我方全体回复其10%最大生命值。随后对另一名我方角色施加回复之泉，持续1回合,0,0,否,0,否,0,是,0,0.1,全体最大生命治疗比例,1,回复之泉持续回合数,,,,,治疗
奇迹域场,HealerSkillTwo,展开奇迹域场，持续100行动值。释放后自身立即切出并不消耗指挥点,0,0,否,0,否,0,否,0,100,奇迹域场持续AV,,,,,,,切出;增伤
