等级,HP,HP偏移,防御力,防御偏移,免伤数值,攻击力,行动力,K
Level,MaxHP,MaxHPOffset,Defense,DefenseOffset,DefenseIgnore,Attack,Speed,K
Shield,,,,,,,,
1,333,±0,55,±0,0.407,81,75,80
2,526,±0,74,±0,0.481,126,75,80
3,642,±0,86,±0,0.518,153,75,80
4,732,±0,94,±0,0.54,174,75,80
5,810,±0,102,±0,0.56,193,75,80
6,879,±0,109,±0,0.577,209,75,80
7,941,±0,115,±0,0.59,223,75,80
8,998,±0,120,±0,0.6,236,75,80
9,1052,±0,126,±0,0.612,249,75,80
10,1103,±0,131,±0,0.621,261,75,80
Single,,,,,,,,
1,130,±0,32,±0,0.211,132,42,120
2,239,±0,38,±0,0.241,266,42,120
3,304,±0,42,±0,0.259,346,42,120
4,355,±0,44,±0,0.268,408,42,120
5,399,±0,47,±0,0.281,462,42,120
6,438,±0,49,±0,0.29,510,42,120
7,473,±0,51,±0,0.298,553,42,120
8,505,±0,52,±0,0.302,592,42,120
9,536,±0,54,±0,0.31,630,42,120
10,564,±0,56,±0,0.318,664,42,120
Debuff,,,,,,,,
1,187,±0,38,±0,0.275,92,57,100
2,328,±0,52,±0,0.342,182,57,100
3,412,±0,59,±0,0.371,236,57,100
4,478,±0,65,±0,0.394,278,57,100
5,535,±0,71,±0,0.415,315,57,100
6,585,±0,75,±0,0.429,347,57,100
7,631,±0,80,±0,0.444,376,57,100
8,672,±0,83,±0,0.454,402,57,100
9,712,±0,87,±0,0.465,427,57,100
10,748,±0,91,±0,0.476,451,57,100
Bomb,,,,,,,,
1,105,±0,17,±0,0.116,117,52,130
2,200,±0,23,±0,0.15,244,52,130
3,256,±0,27,±0,0.172,319,52,130
4,300,±0,29,±0,0.182,378,52,130
5,338,±0,32,±0,0.198,429,52,130
6,372,±0,34,±0,0.207,474,52,130
7,402,±0,36,±0,0.217,515,52,130
8,430,±0,37,±0,0.222,552,52,130
9,457,±0,39,±0,0.231,588,52,130
10,481,±0,41,±0,0.24,621,52,130
Dot,,,,,,,,
1,232,±0,34,±0,0.254,132,65,100
2,395,±0,48,±0,0.324,251,65,100
3,492,±0,55,±0,0.355,322,65,100
4,568,±0,61,±0,0.379,378,65,100
5,634,±0,67,±0,0.401,426,65,100
6,692,±0,71,±0,0.415,469,65,100
7,744,±0,76,±0,0.432,507,65,100
8,792,±0,79,±0,0.441,542,65,100
9,838,±0,83,±0,0.454,576,65,100
10,880,±0,87,±0,0.465,607,65,100
Queen,,,,,,,,
8,4880,/,113,/,0.585,626,60,80
10,5491,/,124,/,0.608,698,60,80
Chess,,,,,,,,
8,718,/,56,/,0.359,342,75,100
10,799,/,61,/,0.379,379,75,100
DOT龙,,,,,,,,
7,1498,/,90,/,0.529,362,65,80
4,1132,/,70,/,0.467,274,65,80
直伤龙,,,,,,,,
7,1398,/,90,/,0.474,478,60,100
5,1186,/,78,/,0.438,404,60,100
混沌龙,,,,,,,,
7,1604,/,90,/,0.529,280,55,80
6,1485,/,84,/,0.512,260,55,80
剑客,,,,,,,,
3,3054,/,55,/,0.355,218,35,100
4,3600,/,61,/,0.379,255,35,100
