敌人/技能名称,Type,SkillCoef,SkillBase,TargetType,CooldownTurns,ExtraData1,注释,ExtraData2,注释,ExtraData3,注释,ExtraData4,注释,备注
敌人/技能名称,Type,SkillCoef,SkillBase,TargetType,CooldownTurns,ExtraData1,,ExtraData2,,ExtraData3,,ExtraData4,,备注
护盾术,ShieldSupport_1,0,0,Self,0,0.15,护盾比例(MaxHP×),0,未使用,0,未使用,0,预留,给当前HP最低友方施加护盾
盾击,ShieldSupport_2,0.28,15,Character,0,0.4,行动延后比例(BaseAV×),0,未使用,0,未使用,0,预留,对我方全体造成伤害并行动延后
刺击,SingleAttack,0.9,15,Character,0,2,混沌层数,0,未使用,0,未使用,0,预留,随机单体伤害+混沌
迷幻,Debuff_1,0,0,Character,0,2,混沌层数,0,未使用,0,未使用,0,预留,对我方全体施加混沌
瞩目,Debuff_2,0.45,15,Character,0,1,瞩目层数,0,未使用,0,未使用,0,预留,随机单体伤害+瞩目
启动,Exploder,0,0,None,0,0,未使用,0,未使用,0,未使用,0,预留,空过并提示启动失败
致命爆破,Exploder2,0.6,0,Character,0,0.5,可用概率(CanUse),2,自爆倒计时层数,3,爆炸混沌层数,0,预留,启动自爆流程; 倒计时归零后爆炸
鸩毒,DotMaster_1,0.24,0,Character,0,2,鸩毒层数,0,未使用,0,未使用,0,预留,随机单体伤害+鸩毒
毒爆,DotMaster_2,0.15,5,Character,0,0.2,鸩毒转化判定系数,0.5,鸩毒削减比例,1,转化失败额外鸩毒层数,0,预留,全体伤害并独立判定鸩毒转化
步进,ChessPawnAction,0.4,10,None,0,0,召唤兵卒回血比例(0则用pawn默认),0,未使用,0,未使用,0,预留,兵卒推进; 召唤兵卒时为皇后回血
混沌冲击,ChessQueenChaosCharge,0.45,25,Character,0,2,混沌层数,0,未使用,0,未使用,0,预留,全体伤害+混沌
兵卒召唤,ChessQueenSummonPawn,0,0,Self,0,0,未使用,0,未使用,0,未使用,0,预留,召唤1个兵卒; 皇后获得1层威望
后袭王座,ChessQueenThroneAssault,1.5,60,Character,0,0,未使用,0,未使用,0,未使用,0,预留,蓄力后对王棋目标造成伤害; 自身行动延后100%并力竭1回合
王权加冕,ChessQueenCoronation,0.8,50,Character,0,0.2,每层威望额外伤害系数,0,未使用,0,未使用,0,预留,消耗全部威望; 对全体造成极大伤害
单体爆发,ChessQueenSingleBurst,0.85,25,Character,0,1,混沌层数,0,未使用,0,未使用,0,预留,随机单体伤害+混沌
窒息龙息,DragonDotSkill1,0.3,10,Character,0,0.5,强化SkillCoef,15,强化SkillBase,2,龙息层数,3,强化龙息层数,全体伤害+龙息
净化吞噬,DragonDotSkill2,0,0,Self,3,0,未使用,0,未使用,1,清除负面种数,2,强化清除种数,清除所有友方随机负面
沉重鞭击,DragonDirectSkill1,0.65,20,Character,0,0.9,强化SkillCoef,25,强化SkillBase,1,强化瞩目层数,0,未使用,随机单体伤害
瞩目诅咒,DragonDirectSkill2,0,0,Character,4,0,未使用,0,未使用,1,瞩目层数,2,强化瞩目层数,随机目标+瞩目
混沌迟滞,DragonChaosSkill1,0.15,0,Character,0,15,速度步长惩罚,30,强化速度步长惩罚,1,混沌层数,2,强化混沌层数,随机目标+混沌; 强化版按混沌点额外伤害
混沌跃动,DragonChaosSkill2,0,0,Character,2,0.4,行动提前比例,0.2,强化目标输出提升,0.5,强化行动提前比例,0,未使用,自身与随机目标行动提前
无尽炼狱,DragonDotRage,0.3,15,Character,3,0,未使用,0,未使用,1,不灭之焰层数,0,未使用,全体施加不灭之焰
终末宣判,DragonDirectRage,1.35,60,Character,3,0,未使用,0,未使用,0,未使用,0,预留,即死标记后蓄力; 触发时斩杀带即死目标
震慑溃灭,DragonChaosRage,1.5,50,Character,3,2,混沌满额外伤害SkillCoef,2,全体混沌层数,0,未使用,0,预留,全体混沌; 混沌值达5额外直伤
易伤突刺,SwordsmanThrust,0.45,15,Character,0,2,易伤层数,0,未使用,0,未使用,0,预留,随机单体伤害+易伤
剑舞连斩,SwordsmanDance,0.18,5,Character,0,3,连斩段数,1,每段混沌层数,0,未使用,0,预留,随机多段单体微伤; 每段+混沌
铁壁格挡,SwordsmanBlock,0,0,Self,0,1,抵御层数,2,随机目标混沌层数,0,未使用,0,预留,自身抵御; 随机目标+混沌
稳固架势,SwordsmanSteady,0,0,Self,0,0.05,回复比例(MaxHP×),1,清除负面种数,0,未使用,0,预留,回复HP并清除负面
扰敌步法,SwordsmanDisrupt,0.15,5,Character,0,0,未使用,0.5,自身行动提前比例,0,未使用,0,预留,全体伤害; 自身行动提前50%
迅影刺击,SwordsmanShadow,0.3,10,Character,0,0,未使用,0.3,目标行动延后比例,0,未使用,0,预留,锁定行动条最前单位; 伤害并行动延后30%
