序体名称,序体级别,占格数,详细词条描述,词条一,词条二（如有）,词条三（如有）
序体名称,序体级别,占格数,详细词条描述,词条一,词条二（如有）,词条三（如有）
有备而来,中,5,进入战斗时，额外获得一点指挥点,入场,指挥点,
先发制人,小,3,进入战斗时，我方全体单位行动提前20%,入场,速度,
额外指挥,小,4,每当消耗四点指挥点，回复一点指挥点,指挥点,,
增伤切入,小,3,我方单位切入时，下一次伤害提升10%,切入,增伤,
迅速切入,小,4,我方单位切入时，行动提前10%,切入,速度,
呼吸回血,小,4,我方单位切入时，回复自身5%最大生命值,切入,治疗,
治愈增强,小,4,我方单位受到治疗量提升8%,治疗,,
混沌疗化,中,6,在我方造成治疗时，有20%概率为被治疗单位减少1点混沌值,治疗,混沌值,
法术强化,小,4,我方造成法术伤害提升12%,法术,,
直伤强化,小,4,我方造成物理伤害提升10%,物理,,
紧急回避,中,6,当我方单位在血量低于30%且受到伤害时，立即无消耗切出（每场战斗仅限一次）,生存,,
起死回生,大,7,单位受到致命伤害时，无效本次伤害，生命值回复到50%并清除所有负面状态（每场战斗仅限一次）,生存,,
生命强化,小,3,我方单位最大生命值上限提高5%,生存,,
防御强化,小,3,我方单位防御力提升3%,生存,,
暴伤强化,小,4,我方单位暴击伤害提升15%,物理,暴击,
暴率强化,小,4,我方单位暴击率提升8%,物理,暴击,
沉重毒素,中,5,当敌方单位每持有一个负面状态，速度降低4%（Boss效果减半）,减益,速度,
重型炮台,中,6,当单位拥有护盾时，伤害提升30%，但速度减少25%。当护盾清零后，单位提前行动50%,护盾,增伤,拉条
赌徒步伐,中,6,单位速度提高25%，但受到护盾量与治疗量减半,速度,风险,
燃血逆转,大,7,【燃血】效果反转。持有者未能在自己回合内击杀敌人时，不再扣除生命。若成功击杀，则扣除自身最大生命值的25%，但获得下一次攻击必定暴击，且暴击伤害提高50%,伤害,风险,
域场共鸣,大,8,当我方场上同时存在两个不同的域场（如任一域场+奇迹域场）时，触发共鸣：所有域场持续时间延长25%，域场内敌方受到的所有伤害提升25%,域场,增伤,
蓄势逆击·共鸣,大,8,【蓄势逆击】满10层触发额外行动时，不再提供护盾，改为引发【共鸣】：对敌方全体立即触发一次所有持续伤害效果的50%结算，并使我方全体持续伤害提升20%，持续1回合,法术,风险,
物法双修,大,8,我方技能伤害类型与上一次不同时，我方全体伤害提升10%，可无限叠加。类型相同时层数清零,物理,法术,
辅切瞬发,中,6,辅助单位切出时，切入单位行动提前30%,切入,速度,
混沌豁免,中,5,我方单位达到混沌值上限时，不再眩晕，改为清除当前混沌值的一半（向下取整）并回复最大生命值的20%。（每场战斗仅限一次）,混沌值,治疗,
切人蓄爆,中,6,单位场下每经过100行动值获得1层【蓄能】（上限3层）。切入时消耗所有层数，每层使切入后的首次攻击伤害提升15%。,切入,增伤,
紧急切入,中,6,单位切出时，下一个切入单位行动提前10%；若切入时下一位行动者为敌方单位，则提升至50%,切入,速度,
暴噬蔓延,大,7,"单位暴击时，有20%概率使敌方全体持续伤害状态延长1回合。每场战斗前3次触发时，额外施加1种随机
【冰寒/腐蚀/风蚀】。",暴击,法术,
