关键词,关键词描述
Keyword,KeywordDescription
追惩,在非自身回合时，若有敌方单位获得任意负面状态，角色立即对该单位追加一次等同于自身60%攻击力的法术伤害
重裁域场,持续时间内，敌方单位受到的持续伤害提升100%。持续伤害结算时，向相邻单位扩散60%的等量伤害
元素亡爆,持有者所受持续伤害提升30%。若持有者在持有此状态时阵亡，其当前承受的所有持续伤害值，将转化为等额真实伤害（无视减伤与防御），扩散至全体敌方单位
虚弱,持有者造成伤害时，该次伤害降低25%，随后消耗1层
序焰,持有者每次行动时，受到等同于施加者100%攻击力的法术持续伤害
煎熬,持有者造成的伤害降低5%×N（N为层数，至多5层，即最多降低25%）。持有者每次行动时进行一次震慑判定，有10%×N的概率获得【震慑】（至多50%概率）。每个单位独立判定
震慑,持有者本回合无法行动，并使其受到伤害提升40%。该效果持续至持有者下次行动前，随后移除
冰寒,持有者每次行动时，受到等同于施加者50%攻击力的法术持续伤害
腐蚀,持有者每次行动时，受到等同于施加者50%攻击力的法术持续伤害
风蚀,持有者每次行动时，受到等同于施加者50%攻击力的法术持续伤害
蓄势逆击,每当场上有任意伤害结算时，获得1层蓄势；自身受到攻击时，额外获得2层。满8层时层数清零，并触发以下效果：本角色立即获得一次额外行动，并为我方全体施加相当于自身最大生命值20%+X的护盾，并对敌方全体造成中等物理伤害并使行动延后20%
抵御,我方单位受到伤害时，降低该次伤害80%，并消耗1层抵御层数。层数可叠加，每次受击消耗1层
嘲讽,持有者行动时，强制以施加嘲讽的我方单位为攻击目标。若该该我方单位已切出，则嘲讽层数立即清除
狂暴盛宴,自身暴击率提升25%。角色攻击造成暴击时，立即对同一目标再次释放原技能50%效果的追加物理攻击。该追加攻击可连续触发，直至不再暴击或目标死亡为止
收债倒计时,角色切出或击杀敌人时，获得1层【债务】，每层提升10%伤害与缩短5%行动冷却，层数无上限
燃血,持有者行动结束时，若本回合未击杀任何敌方单位，则自身受到最大生命值25%的伤害
致命穿甲,角色持有此状态期间，其攻击视为真实伤害且伤害提升40%。自身回合结束时消耗1层
绝境域场,持续时间内，我方全体单位会根据各自已损失生命值的%，独立获得两种增益效果：暴击率提升的数值等于已损生命值% × 50，暴击伤害提升的数值等于已损生命值% × 60
暴击律动,自身暴击或场上敌人死亡时，我方全体角色行动提前25%
裁决印记,持有印记的单位受到伤害时，额外受到等量15%的真实伤害，若该单位在持有印记期间被击杀，印记转移给场上生命值次低的敌方单位
易伤,持有者受到伤害时，该次伤害提升25%，随后消耗1层
破甲,持有者受到伤害时，无视其20%×N的防御力。N最多叠加至2层（即最多无视40%防御）
回复之泉,单位造成的伤害提升20%。记录单位造成的该次伤害量，并将该伤害量等价结算为治疗量均摊，用以治疗位于排外的四名角色
奇迹域场,域场内我方造成的伤害提升20%，受到伤害降低10%
瞩目,持有者受击概率变为60%。持有者下一次受到伤害时，该伤害提升20%，随后消耗1层。该状态最多叠加2层，数值效果不叠加
鸩毒,持有者每次行动时，受到N（层数）×施加者20%攻击力的法术持续伤害。层数不随行动减少，仅在角色切出时清零
威望,每一层威望为其提供10%伤害减免与10%伤害加成
王棋,"自身伤害增加30%,但自身受到伤害增加30%(该状态无法通过切出消除，切入角色继承切出角色的对应状态）"
车棋,自身伤害减少30%(该状态无法通过切出消除，切入角色继承切出角色的对应状态)
力竭,该状态自身受到伤害提升25%，持续1回合
龙息,"我方单体每次行动时，会受到 N(龙息层数)*施加者的60%攻击力的法术持续伤害。每触发一次,层数减一"
不灭之焰,我方单体每次行动时，会受到 N(不灭之焰层数)*施加者的120%攻击力的法术持续伤害。层数并不会随行动降低，当角色切出清零层数
即死,"该状态被触发时,单位立即死亡"
背水一战,"角色不再切换姿态，固定在亮剑姿态，伤害提升50%，但受到伤害提升50%,韧性削减量再加一点("
失衡,失衡状态期间，剑客无法行动，受到伤害提升40%
优雅体态,角色未处于失衡状态时，角色拥有60%伤害减免
