标签名,背景颜色,文字颜色
标签名,背景颜色,文字颜色
法术,0.20 0.40 0.90 1.0,1.0 1.0 1.0 1.0
物理,0.85 0.25 0.20 1.0,1.0 1.0 1.0 1.0
真伤,0.95 0.95 0.95 1.0,0.15 0.10 0.10 1.0
暴击,0.95 0.60 0.10 1.0,1.0 1.0 1.0 1.0
减益,0.55 0.20 0.60 1.0,1.0 1.0 1.0 1.0
增伤,0.90 0.30 0.10 1.0,1.0 1.0 1.0 1.0
治疗,0.15 0.70 0.35 1.0,1.0 1.0 1.0 1.0
护盾,0.25 0.55 0.85 1.0,1.0 1.0 1.0 1.0
嘲讽,0.80 0.45 0.10 1.0,1.0 1.0 1.0 1.0
震慑,0.85 0.75 0.15 1.0,0.15 0.10 0.10 1.0
追击,0.85 0.20 0.40 1.0,1.0 1.0 1.0 1.0
斩杀,0.70 0.10 0.15 1.0,1.0 1.0 1.0 1.0
扩散,0.20 0.65 0.75 1.0,1.0 1.0 1.0 1.0
拉条,0.15 0.75 0.55 1.0,1.0 1.0 1.0 1.0
燃血,0.75 0.15 0.10 1.0,1.0 1.0 1.0 1.0
切出,0.45 0.45 0.55 1.0,1.0 1.0 1.0 1.0
