教程名,教程文本一,教程文本二,教程文本三,教程文本四,教程文本五,教程文本六,教程文本七,教程文本八,教程文本九,教程文本十
教程名,教程文本一,教程文本二,教程文本三,教程文本四,教程文本五,教程文本六,教程文本七,教程文本八,教程文本九,教程文本十
教程一,欢迎加入讨伐混沌之神卡俄斯的队伍。在前往地狱之前，我们需要充分准备。先从了解你的<b><color=white>战友</color></b>开始吧！,"请点击""<b><color=white>角色</color></b>""，进入角色页面。",,-,,,,,,
教程二,目前初始战友有两位，后续还会有更多战友陆续加入。先来了解一下他们吧！,当前入队的是<b><color=white>裁罪士</color></b>与<b><color=white>厄瘟使</color></b>，两人都是擅长群体<b><color=white>持续伤害</color></b>的强力角色。,角色页面可查看每位角色的<b><color=white>属性</color></b>与各具特色的<b><color=white>技能</color></b>。,充分了解你的战友，在<b><color=white>群体战斗</color></b>中尽情发挥他们的优势吧！,,,,,,
教程三,现在你已经认识了这两个战友，通过实战来感受他们各异的能力吧,"点击""<b><color=white>进入战斗</color></b>""，开始战斗",,,,,,,,
教程四,这是进入关卡前的备战页面,在这里你可以了解本关遭遇敌人的配置情况，以及敌人阵容的特点,请充分获取本关相关信息与情报，并据此制定对敌策略吧！,,,,,,,
教程五,战斗中，场上最多同时上阵两名战友。,结合关卡情报，点击角色头像即可挑选或替换两名首发战友。,请点击角色头像，上阵两名战友以完成编队。,随着教程推进，会有更多战友加入。,,,,,,
教程六,战斗开始前，先了解一下界面吧。,"这是""角色状态栏""，可实时查看两名角色的血量与混沌值。",血量归零后，角色将无法行动。,混沌值是核心机制，请务必关注角色的混沌值状态。,混沌值效果一览：\n\n- 1-2层：每层减少10%造成伤害\n- 3-4层：每层增加20点行动冷却（4层时合计-20%伤害、+40冷却）\n- 5层：眩晕1回合，之后混沌值重置为2层,敌方会施加混沌值，请时刻留意角色状态！,<b><color=white>行动序列</color></b>展示了敌我双方行动顺序，位于上方的目标将会优先行动。,所有目标右下角都显示着每个目标的<b><color=white>行动值。行动值</color></b>代表了距离下次行动所需的间隔。该数字越小，在行动序列上的位置越靠前。<b><color=white>行动值为零，则立即行动</color></b>,间隔则会受<b><color=white>行动冷却</color></b>的影响，<b><color=white>行动冷却</color></b>越小，间隔越短。,这里展示了<b><color=white>行动顺序</color></b>
教程七,移步战场本身。每个角色拥有两个技能，效果都十分强力。,先以厄瘟使的技能为例进行演示。,角色释放技能后，通常会结束当前回合。,但带有【不消耗自身回合】的技能例外，释放后仍可继续使用其他技能。,先释放【追惩】，提升厄瘟使的输出能力吧！,干得好！让厄瘟使再释放一次技能，发挥全部实力！,可以看到敌人已持有多种负面状态。鼠标悬停至图标即可查看详细描述。,一鼓作气，结束这场战斗吧！,,
教程八,一场实力碾压的战斗！你获得了不少金币。来看看能用它们做些什么吧。,前往商店，看看有什么可买的。,,,,,,,,
教程九,商店中出售各类序体，每个序体都能带来对应的效果提升。,效果的强弱通常与序体的尺寸和价格直接挂钩。,根据当前金币数量，先挑选一个心仪的序体吧。,后续若没有心仪的序体，可花费金币刷新商店。刷新费用会随刷新次数递增。,金币充裕时，别忘了扩容序体承载量。长远规划总不会错！,,,,,
教程十,现在去序体页面，把刚买的序体模块装配上吧！,,,,,,,,,
教程十一,在此页面可搭载已拥有的序体，激活对应的效果加成。,你已经拥有一个序体了，快把它搭载上，提升实力吧！,干得漂亮！效果已经生效。鼠标悬停至序体上，即可在屏幕右侧查看详细效果说明。,随着序体搭载数量增多，空间不足将无法搭载新序体。记得提前规划和购买序体扩容，有备无患！,,,,,,
教程十二,你已经掌握了基础战斗与局外养成，但真正的考验才刚刚开始。,前往第二关，学习如何驾驭最核心的切人机制，让你的战友在绝境中爆发出更强的战力吧！,,,,,,,,
教程十三,随着关卡难度提升，请多留意敌方词条，并据此调整上阵配置与序体搭配的策略。,战斗中会有新战友前来支援，让敌人见识一下我们的厉害！,,,,,,,,
教程十四,这个敌人异常强大，仅靠两人难以取胜，务必坚持到新战友的驰援！,,,,,,,,,
教程十五,援军已到，战局必将逆转！,指挥点是全队共享资源，消耗指挥点即可执行切人操作。,指挥点回复机制：XXXXXXXXXXXXXXX（待最后调整完成）,切人效果：将场上指定角色切至场下，清除至多3点混沌值；选定的场下角色切入场上，并触发足以扭转战局的切入技。,每位战友的切入技各不相同且至关重要。熟悉切入技，在关键时刻正确切人，是制胜的关键！,"现在点击""切入""，将厄瘟使替换为绝剑士，扭转战局吧！",太精彩了！一鼓作气扫清残敌，拿下这场战斗！,,,
教程十六,刚才的惊险一战，充分说明了熟悉每位战友技能与切入技的重要性。,受我们英勇战斗的感召，又有新战友慕名而来！,,,,,,,,
教程十七,至此，你已掌握了所有战斗机制。整装待发，迎接最终的教程测验吧！,,,,,,,,,
